Human,Mice
ICE2,Ice2
LMNTD1,Lmntd1
FNDC9,Fndc9
TGM1,Tgm1
ETHE1,Ethe1
CNGB3,Cngb3
SPINK2,Spink2
ROPN1,Ropn1
HIST1H2AL,Hist1h2ae
STAMBP,Stambp
KANTR,Kantr
ANGPTL4,Angptl4
KLHL28,Klhl28
OR4C15,Olfr1211
AHNAK,Ahnak
CSF3R,Csf3r
RARRES1,Rarres1
FAM117A,Fam117a
MFAP5,Mfap5
NAV3,Nav3
NFX1,Nfx1
C8orf4,1810011O10Rik
FBXL8,Fbxl8
C13orf46,1700029H14Rik
ZSWIM9,Zswim9
DLC1,Dlc1
SSH1,Ssh1
DLL4,Dll4
ACSM2A,Acsm2
GBA,Gba
AGPS,Agps
ATF7IP2,Atf7ip2
ATP2C1,Atp2c1
CCNH,Ccnh
NRG2,Nrg2
SYNCRIP,Syncrip
SMARCA4,Smarca4
CSMD1,Csmd1
CTCFL,Ctcfl
CFAP70,Cfap70
FAM237B,Gm8773
TM6SF1,Tm6sf1
NTPCR,Ntpcr
SPAG11B,Spag11b
S100A2,S100a2
PSMD5,Psmd5
NHEJ1,Nhej1
HNRNPH1,Hnrnph1
GNG10,Gng10
MXD3,Mxd3
GNAT3,Gnat3
M6PR,M6pr
DCUN1D2,Dcun1d2
AUTS2,Auts2
DZIP3,Dzip3
FAM120C,Fam120c
DAZ2,Dazl
ACSBG2,Acsbg2
ZNF32,Zfp637
GRINA,Grina
CEL,Cel
ESYT3,Esyt3
RP1L1,Rp1l1
GHRL,Ghrl
CUTC,Cutc
USE1,Use1
CLRN2,Clrn2
SS18L1,Ss18l1
RMC1,Rmc1
PPP1R35,Ppp1r35
PPP4C,Ppp4c
CCZ1,Ccz1
CSTA,Csta
TMEM19,Tmem19
TMEM190,Tmem190
FERMT1,Fermt1
HAVCR1,Havcr1
TRAF4,Traf4
CBX2,Cbx2
LHFPL4,Lhfpl4
C2orf69,1700066M21Rik
SMYD3,Smyd3
ASPA,Aspa
TRIP12,Trip12
HSD17B4,Hsd17b4
MOB4,Mob4
RTL4,Rtl4
UBXN11,Ubxn11
FASTKD3,Fastkd3
FAT3,Fat3
LGALS2,Lgals2
SYAP1,Syap1
BLK,Blk
ASCL5,Ascl5
DNAJC24,Dnajc24
ABLIM1,Ablim1
SERAC1,Serac1
MYO1D,Myo1d
KLC1,Klc1
RHNO1,Rhno1
COX15,Cox15
TMEM69,Tmem69
C8orf33,1110038F14Rik
PNCK,Pnck
RPL18A,Rpl18a
RNU1-100P,Gm24046
TMEM260,Tmem260
TXLNG,Txlng
OR5B2,Olfr1451
GALNT6,Galnt6
PTPRO,Ptpro
SMYD4,Smyd4
CREBRF,Crebrf
C2orf88,1700019D03Rik
MYD88,Myd88
TRAF3,Traf3
CMIP,Cmip
EPB41L4B,Epb4.1l4b
RAP1B,Rap1b
ANLN,Anln
T,T
WNT11,Wnt11
TFAP2C,Tfap2c
FAM222B,Fam222b
MAFG,Mafg
OR5H6,Olfr187
C1orf198,2310022B05Rik
TMEM192,Tmem192
N4BP3,N4bp3
TEX28,Tex28
STXBP1,Stxbp1
NRG4,Nrg4
FADS1,Fads1
ID3,Id3
CDH26,Cdh26
PRRT1,Prrt1
HCLS1,Hcls1
THNSL2,Thnsl2
EIF4EBP2,Eif4ebp2
CTF1,Ctf1
FRAT1,Frat1
DIO1,Dio1
SLC26A5,Slc26a5
VAT1,Vat1
APAF1,Apaf1
HIST1H4E,Hist1h4k
TET2,Tet2
TIMM23,Timm23
C1QTNF2,C1qtnf2
SPACA4,Spaca4
AGBL1,Agbl1
GPC4,Gpc4
PALLD,Palld
HABP4,Habp4
NLN,Nln
MLLT3,Mllt3
SELENOF,Selenof
PSMD11,Psmd11
FZD5,Fzd5
TGOLN2,Tgoln1
RC3H2,Rc3h2
RN7SKP222,Gm25845
TANGO2,Tango2
GPATCH4,Gpatch4
TAF5L,Taf5l
CNTROB,Cntrob
ULK2,Ulk2
PRPF3,Prpf3
PRKCQ,Prkcq
ARL9,Arl9
CYP11B2,Cyp11b1
AC135178.2,Rpl26
ASH2L,Ash2l
CXCL10,Cxcl10
RGPD6,Ranbp2
FAM186B,Fam186b
C4orf22,1700007G11Rik
PRRG4,Prrg4
ST6GALNAC4,St6galnac4
UTP14C,Utp14b
PLSCR1,Plscr1
TAOK3,Taok3
DZANK1,Dzank1
OR51L1,Olfr587-ps1
ABHD10,Abhd10
GEN1,Gen1
ZFP36L2,Zfp36l2
CLUAP1,Cluap1
GAN,Gan
RPL21,Rpl21
ACAA2,Acaa2
BICC1,Bicc1
CDX2,Cdx2
GLP2R,Glp2r
CERS2,Cers2
RBKS,Rbks
OR6X1,Olfr986
PADI4,Padi4
GSS,Gss
B3GNT5,B3gnt5
ZNF569,Zfp74
RNASE6,Rnase6
EIF1B,Eif1b
IAH1,Iah1
IGF1R,Igf1r
CCN3,Ccn3
ZNF518B,Zfp518b
PCDHB1,Pcdhb1
NUFIP2,Nufip2
EMILIN2,Emilin2
RELA,Rela
WNT9B,Wnt9b
TOPORS,Topors
BECN2,Gm38100
SNORD61,Snord61
LRIT3,Lrit3
SETD4,Setd4
OR4C5,Olfr1260
ANGPTL6,Angptl6
TRIL,Tril
TAS1R1,Tas1r1
LDHD,Ldhd
TPBGL,Gm4980
MRPL54,Mrpl54
LHB,Lhb
NAPB,Napb
FAM219A,Fam219a
SERGEF,Sergef
SMIM41,6030408B16Rik
GC,Gc
FLG,Flg
PTGDR,Ptgdr
LYPD8,Lypd8
TTLL5,Ttll5
YTHDF2,Ythdf2
MAP3K10,Map3k10
C13orf42,Gm4131
FRRS1L,Frrs1l
SPACA1,Spaca1
AC021072.1,Gm9918
NAIP,Naip2
ZNF483,Zkscan16
PDZD3,Pdzd3
GAREM1,Garem1
PCDHB5,Pcdhb10
EFHB,Efhb
PLCZ1,Plcz1
C7orf49,3110062M04Rik
TMEM156,Tmem156
RNU6-883P,Gm25494
ABCB1,Abcb1a
FOXD4,Foxd4
ACTR2,Actr2
CEBPA,Cebpa
KIRREL2,Kirrel2
MKS1,Mks1
C20orf85,1700021F07Rik
NELFA,Nelfa
PRG2,Prg2
SAG,Sag
COMMD8,Commd8
PHETA2,Pheta2
PRMT5,Prmt5
GLIPR1L2,Glipr1l2
CDK11B,Cdk11b
MCUB,Mcub
METTL21C,Mettl21c
GOLGA4,Golga4
PNMA8C,Gm42372
CAB39,Cab39
HRH1,Hrh1
KCNJ15,Kcnj15
SNORD70B,Gm26293
SNUPN,Snupn
RNU1-131P,Gm23737
OR8B3,Olfr147
SNORA12,Gm24336
ECHDC2,Echdc2
ZPBP2,Zpbp2
RIT2,Rit2
SBSPON,Sbspon
NKD1,Nkd1
GSC,Gsc
TMEM247,Tmem247
KRT5,Krt5
RNU6-511P,Gm22502
SLC25A13,Slc25a13
ELF3,Elf3
NIPBL,Nipbl
C6orf141,9130008F23Rik
TGFBR3,Tgfbr3
MACROD1,Macrod1
CCDC70,Ccdc70
MAP2K6,Map2k6
SDK2,Sdk2
EPHX2,Ephx2
CAVIN1,Cavin1
TSN,Tsn
TMEM237,Tmem237
KLHL11,Klhl11
CTU1,Ctu1
DGAT2,Dgat2
NECAP1,Necap1
FGFR1,Fgfr1
MPHOSPH8,Mphosph8
PRRC1,Prrc1
TBX20,Tbx20
KRT26,Krt26
AXIN2,Axin2
SMOX,Smox
RNU6-16P,Gm26285
C12orf73,1190007I07Rik
CDK18,Cdk18
CTGF,Ctgf
ABCF2,Abcf2
STAT5B,Stat5b
TNNI2,Tnni2
ENOX1,Enox1
CST11,Cst11
PCCB,Pccb
TMEM176A,Tmem176a
NAT14,Nat14
TLX1,Tlx1
SNU13,Snu13
MTNR1B,Mtnr1b
SLAMF6,Slamf6
GNPTG,Gnptg
CCNB2,Ccnb2
VPS8,Vps8
RECQL,Recql
ANKRD34C,Ankrd34c
RXFP4,Rxfp4
GAD1,Gad1
GCDH,Gcdh
NANOS2,Nanos2
IGDCC4,Igdcc4
NR4A2,Nr4a2
FAM126B,Fam126b
POM121C,Pom121
KCNC2,Kcnc2
TRHR,Trhr
EEF1AKNMT,Mettl13
CTRB1,Ctrb1
DNAJB12,Dnajb12
FAM78A,Fam78a
RFC3,Rfc3
PPARGC1B,Ppargc1b
CDK9,Cdk9
ZBED3,Zbed3
RASGRP2,Rasgrp2
RSG1,Rsg1
SCYL1,Scyl1
CCDC89,Ccdc89
UTS2R,Uts2r
IKZF2,Ikzf2
ZSWIM4,Zswim4
CATSPERD,Catsperd
SEMA3E,Sema3e
RASAL3,Rasal3
NKX3-2,Nkx3-2
IDH3A,Idh3a
NOP9,Nop9
OR7G3,Olfr832
CAVIN2,Cavin2
RPL37A,Rpl37a
RRM1,Rrm1
PTPN18,Ptpn18
ATP2B2,Atp2b2
WSB1,Wsb1
E2F5,E2f5
RNF112,Rnf112
CFH,Cfh
TRAP1,Trap1
GGCT,Ggct
SPG11,Spg11
RFX2,Rfx2
SLC24A3,Slc24a3
OR6C3,Olfr803
DOCK5,Dock5
CSRP3,Csrp3
SLC10A5,Slc10a5
PRR32,Prr32
FAM171A2,Fam171a2
RABGGTB,Rabggtb
GMFB,Gmfb
TBC1D15,Tbc1d15
BAZ1B,Baz1b
CMC4,Mtcp1
RNU6-856P,Gm23970
SPINK13,Spink13
NMS,Nms
FKBP11,Fkbp11
MYCT1,Myct1
GNG2,Gng2
NR1H3,Nr1h3
RN7SKP43,Gm24749
ADORA3,Adora3
SNORD35A,Snord35a
LILRB3,Pirb
C2orf72,2810459M11Rik
DUSP1,Dusp1
THAP2,Thap2
MSI2,Msi2
ZKSCAN7,Zkscan7
PLCG2,Plcg2
RNU6-142P,Gm25705
LGALS7B,Lgals7
ATP6V1B1,Atp6v1b1
OR51I1,Olfr640
OR10S1,Olfr982
MYADML2,Myadml2
FBXO38,Fbxo38
CAPZB,Capzb
CLN5,Cln5
OR5P2,Olfr502
CD44,Cd44
NECTIN1,Nectin1
PON2,Pon2
CXCR1,Cxcr1
PLA2G15,Pla2g15
CYTH4,Cyth4
AHSA1,Ahsa1
GREB1,Greb1
GYPC,Gypc
RNF149,Rnf149
C6orf120,1600012H06Rik
HIST3H2BB,Hist3h2bb-ps
GPRIN1,Gprin1
FBP2,Fbp2
RAB39A,Rab39
IREB2,Ireb2
EFEMP2,Efemp2
LINGO4,Lingo4
CPA3,Cpa3
TMEM176B,Tmem176b
MIR1302-1,Gm24275
OR8U1,Olfr1044
NOS2,Nos2
MARC2,Marc2
DPYSL2,Dpysl2
RNU6-479P,Gm26484
HIST1H2BM,Hist1h2bn
HSF1,Hsf1
EHD4,Ehd4
ABHD17A,Abhd17a
PGRMC1,Pgrmc1
AIFM1,Aifm1
IDNK,Idnk
RF01887,Gm27699
PRUNE1,Prune1
C5,Hc
PGK1,Pgk1
PANK1,Pank1
TTC13,Ttc13
ATAD1,Atad1
LLGL1,Llgl1
RPE65,Rpe65
NVL,Nvl
PPP1R3B,Ppp1r3b
STK11,Stk11
SAMD13,Samd13
SH3BGRL2,Sh3bgrl2
GALE,Gale
PPP2R2A,Ppp2r2a
OR4A5,Olfr1238
UBE4A,Ube4a
PAPD4,Papd4
LHPP,Lhpp
ATPSCKMT,Fam173b
GNB4,Gnb4
LEP,Lep
PLEKHG1,Plekhg1
TLN1,Tln1
PPP3R2,Ppp3r2
CCNA2,Ccna2
NUP210L,Nup210l
TSR2,Tsr2
DIPK1C,Fam69c
RF02196,Gm27941
ERCC8,Ercc8
SEPT7,Sept7
SNURF,Snurf
DDRGK1,Ddrgk1
TNFSF18,Tnfsf18
DTD2,Dtd2
SCG5,Scg5
PIGQ,Pigq
DMGDH,Dmgdh
RTRAF,Rtraf
MT-ND5,mt-Nd5
YME1L1,Yme1l1
PIP,Pip
PEG3,Peg3
SUN3,Sun3
AP1AR,Ap1ar
SH2D1B,Sh2d1b1
INSM1,Insm1
MYF6,Myf6
PIP4K2B,Pip4k2b
UPF1,Upf1
MIR18A,Mir18
ANKK1,Ankk1
PRKAR2A,Prkar2a
MEOX1,Meox1
ATP5H,Atp5h
SDC4,Sdc4
RSPH6A,Rsph6a
TPR,Tpr
CRYBA2,Cryba2
PPP1CB,Ppp1cb
LILRA5,Lilra5
CA4,Car4
PLRG1,Plrg1
SRSF2,Srsf2
C19orf60,2810428I15Rik
EDA2R,Eda2r
KCTD9,Kctd9
MMP9,Mmp9
AFF1,Aff1
ADGRG5,Adgrg5
ANO8,Ano8
FKBP15,Fkbp15
TBK1,Tbk1
URB1,Urb1
GUCY2F,Gucy2f
SH3BP2,Sh3bp2
MAP2K7,Map2k7
SLC52A2,Slc52a2
HHIPL2,Hhipl2
CDS1,Cds1
FAM57A,Fam57a
TBC1D30,Tbc1d30
ATOX1,Atox1
RF02173,Gm27698
PTPRG,Ptprg
SLBP,Slbp
RASSF7,Rassf7
WDR27,Wdr27
PDHA1,Pdha1
RNU6-1262P,Gm22212
CHST6,Chst5
PADI6,Padi6
MSL2,Msl2
LMBRD1,Lmbrd1
TMCO3,Tmco3
ATP2B4,Atp2b4
CRBN,Crbn
RGPD4,Ranbp2
CLCNKB,Clcnka
MRPL43,Mrpl43
POU4F1,Pou4f1
ARL16,Arl16
FEM1C,Fem1c
RCOR3,Rcor3
PARP1,Parp1
RHOXF1,Rhox13
THEMIS,Themis
SLC15A2,Slc15a2
PATE3,Gm17365
SOST,Sost
SSPO,Sspo
WWC1,Wwc1
TRAV39,Trav23
SIX3,Six3
ZBTB46,Zbtb46
TMEM170A,Tmem170
B4GALT6,B4galt6
B3GNT2,B3gnt2
CDC14B,Cdc14b
MIR877,Mir877
HPCAL4,Hpcal4
CYP3A7,Cyp3a13
NUDT4,Nudt4
TMEM238L,Tmem238l
ARHGAP33,Arhgap33
AWAT1,Awat1
ACP1,Acp1
FAM98A,Fam98a
IGSF9B,Igsf9b
PPP2R2D,Ppp2r2d
ELF5,Elf5
COPS7B,Cops7b
METTL4,Mettl4
PTTG1IP,Pttg1ip
HYDIN,Hydin
OR2AP1,Olfr765
TRDN,Trdn
PXDN,Pxdn
CCR3,Ccr3
EEF2K,Eef2k
SNCAIP,Sncaip
FZD6,Fzd6
MSR1,Msr1
EVA1A,Eva1a
CTDSP1,Ctdsp1
CD163,Cd163
HOXC12,Hoxc12
TMSB10,Tmsb10
MTDH,Mtdh
MIR24-1,Mir24-1
TNFRSF19,Tnfrsf19
ZFX,Zfx
CCDC78,Ccdc78
PRKCA,Prkca
TAF9,Taf9
ATP8A1,Atp8a1
CSTF2,Cstf2
CSPP1,Cspp1
F8A2,F8a
CDCA3,Cdca3
PRPF4B,Prpf4b
IPO9,Ipo9
FABP6,Fabp6
HTR6,Htr6
MAP6D1,Map6d1
GALNT13,Galnt13
SNX9,Snx9
SNX8,Snx8
NOS3,Nos3
NCF4,Ncf4
LRP5,Lrp5
HEBP2,Hebp2
ALDH1A1,Aldh1a1
CXCL17,Cxcl17
CIDEB,Cideb
MT-ND3,mt-Nd3
MTMR6,Mtmr6
CCDC71,Ccdc71
PRDX5,Prdx5
RRS1,Rrs1
RNU6-507P,Gm24226
EXD1,Exd1
ZNF503,Zfp503
OR4C46,Olfr1258
MAEA,Maea
MASP2,Masp2
ABCA5,Abca5
ANKRD33B,Ankrd33b
SNORD124,Gm22059
C1orf43,4933434E20Rik
TSPAN31,Tspan31
KIF26B,Kif26b
JADE1,Jade1
FABP7,Fabp7
SNORD56,Gm23650
RNU1-45P,Gm25440
UBE2O,Ube2o
NXPE2,Nxpe2
MRPS36,Mrps36
TPM3,Tpm3
RBM27,Rbm27
FHL5,Fhl5
EBAG9,Ebag9
KAT5,Kat5
IFT172,Ift172
PPP2R5A,Ppp2r5a
SOS1,Sos1
DENND1B,Dennd1b
HIST1H2BD,Hist3h2ba
ABCC9,Abcc9
PLXNC1,Plxnc1
SPATA7,Spata7
SHISA7,Shisa7
CCDC9B,Ccdc9b
TCAIM,Tcaim
SLC51A,Slc51a
GALNT18,Galnt18
JCAD,Jcad
TMEM222,Tmem222
DHFR,Dhfr
ICK,Ick
GDA,Gda
NDUFA12,Ndufa12
ILDR2,Ildr2
C12orf4,D6Wsu163e
MOG,Mog
OR6B2,Olfr1416
RYK,Ryk
MBOAT1,Mboat1
LTK,Ltk
DNASE1L1,Dnase1l1
C8orf88,Gm11837
RNU6-1134P,Gm22083
CNOT6,Cnot6
EPSTI1,Epsti1
COG5,Cog5
SCOC,Scoc
VRK1,Vrk1
BAIAP3,Baiap3
C4orf46,4930579G24Rik
APOBR,Apobr
PHF12,Phf12
NKAPD1,Nkapd1
SFMBT1,Sfmbt1
PMIS2,Pmis2
DGCR6,Dgcr6
HOMER3,Homer3
OPTN,Optn
TP53I13,Trp53i13
KRT28,Krt28
CLRN1,Clrn1
MIR449A,Mir449a
PRR27,Prr27
PPIL4,Ppil4
ERAL1,Eral1
HSPA13,Hspa13
RF02266,Gm27733
SOGA3,Soga3
SMNDC1,Smndc1
RIDA,Rida
STK38L,Stk38l
E2F8,E2f8
TSPAN1,Tspan1
ART1,Art1
RCE1,Rce1
TSSK2,Tssk2
AC004475.1,Sugp1
KIF9,Kif9
BRMS1,Brms1
PNPO,Pnpo
STRADB,Stradb
ARHGEF18,Arhgef18
MIRLET7I,Mirlet7i
C10orf10,8430408G22Rik
SETX,Setx
PEX1,Pex1
RHOG,Rhog
ANKRD16,Ankrd16
OR51B6,Olfr65
IGBP1,Igbp1
TFAP2E,Tfap2e
FNDC1,Fndc1
TP53RK,2810408M09Rik
RF02251,Gm27502
RNU6-600P,Gm24901
RAB3GAP1,Rab3gap1
CHST3,Chst3
TRIM3,Trim3
MIDN,Midn
C1orf159,9430015G10Rik
DNAJC25,Dnajc25
SURF4,Surf4
RNA5SP525,Gm24772
DEAF1,Deaf1
GIN1,Gin1
WEE1,Wee1
RUNDC1,Rundc1
SIGLEC15,Siglec15
NMD3,Nmd3
SOX21,Sox21
RAB31,Rab31
OR51F2,Olfr568
SCTR,Sctr
SHC4,Shc4
ELFN2,Elfn2
CNNM4,Cnnm4
TMEM56,Tmem56
RNF216,Rnf216
MRI1,Mri1
KCNB2,Kcnb2
DELE1,Dele1
CD22,Cd22
FKBP5,Fkbp5
TRMT10C,Trmt10c
ADRA2C,Adra2c
ST7,St7
ATP5ME,Atp5k
RAB14,Rab14
EIF4G3,Eif4g3
RPP30,Rpp30
PTH,Pth
SPPL2B,Sppl2b
TRIM44,Trim44
FBXL6,Fbxl6
LITAF,Litaf
RHBDD1,Rhbdd1
RAB8B,Rab8b
BTN1A1,Btn1a1
ISX,Isx
GPRC5D,Gprc5d
OR10G3,Olfr1512
MMEL1,Mmel1
ACAP3,Acap3
INVS,Invs
P2RY2,P2ry2
ARHGEF40,Arhgef40
OR8S1,Olfr285
C1QA,C1qa
LRCH2,Lrch2
STX5,Stx5a
TSEN2,Tsen2
SIPA1,Sipa1
NFU1,Nfu1
ZBTB24,Zbtb24
PAOX,Paox
DCUN1D3,Dcun1d3
TMPRSS6,Tmprss6
ESPL1,Espl1
PTPRH,Ptprh
RSPH3,Rsph3b
PLEKHH3,Plekhh3
JAGN1,Jagn1
RNU2-46P,Gm23022
TNFAIP2,Tnfaip2
PRPF38B,Prpf38b
ATP10D,Atp10d
PDHA2,Pdha2
ZNF143,Zfp143
TICAM1,Ticam1
ZNF148,Zfp148
EVI2A,Evi2a
TMX4,Tmx4
CTRL,Ctrl
NDUFB7,Ndufb7
AHCTF1,Ahctf1
TCFL5,Tcfl5
SELENOK,Selenok
LINGO3,Lingo3
TCEA3,Tcea3
PDK4,Pdk4
JPH1,Jph1
SAMD1,Samd1
CDC42EP5,Cdc42ep5
TAPT1,Tapt1
ABCG4,Abcg4
INPP5J,Inpp5j
CTSA,Ctsa
PNMA3,Pnma3
ITM2A,Itm2a
CSN2,Csn2
KANSL2,Kansl2
IL12A,Il12a
ADAL,Adal
UNC13D,Unc13d
NUFIP1,Nufip1
HTR3A,Htr3a
SPTBN5,Sptbn5
KIAA1755,D630003M21Rik
PLOD1,Plod1
OR12D3,Olfr109
FARS2,Fars2
HTR4,Htr4
YBX2,Ybx2
CCDC187,Ccdc187
C11orf80,Gm960
WDR41,Wdr41
CARD14,Card14
C21orf33,D10Jhu81e
RTP4,Rtp4
SPNS1,Spns1
SLAIN1,Slain1
MRAP,Mrap
GPR158,Gpr158
CARD11,Card11
ST8SIA2,St8sia2
MVK,Mvk
TOX4,Tox4
APBA3,Apba3
GABRA5,Gabra5
EDF1,Edf1
FOXD2,Foxd2
UBA5,Uba5
SPC24,Spc24
ARID4A,Arid4a
RNU6-145P,Gm25652
EPHB6,Ephb6
GYPA,Gypa
SMOC1,Smoc1
ZBED4,Zbed4
GSKIP,Gskip
SDHD,Sdhd
CHFR,Chfr
MLANA,Mlana
CHSY1,Chsy1
HRC,Hrc
GRM4,Grm4
CPXM2,Cpxm2
RNU6-236P,Gm23545
RF01951,Gm27403
ZNF395,Zfp395
RPL35,Rpl35
ZCCHC3,Zcchc3
RASSF10,Rassf10
RANBP3L,Ranbp3l
GID4,Gid4
SLC4A5,Slc4a5
TJP3,Tjp3
MIR138-2,Mir138-2
E4F1,E4f1
TTLL1,Ttll1
SPC25,Spc25
TUB,Tub
RNU6-850P,Gm25199
BANK1,Bank1
STRADA,Strada
SNORD11,Snord11
FAM210A,Fam210a
NAXD,Naxd
ENPP7,Enpp7
ADIG,Adig
DEFB123,Defb36
NEDD4L,Nedd4l
TTC32,Ttc32
UBA6,Uba6
ALKAL2,Alkal2
TBCE,Tbce
PRELID3A,Prelid3a
RTL9,Rtl9
AC007950.1,Usp3
AQP9,Aqp9
ZMYND19,Zmynd19
TBC1D21,Tbc1d21
FANCI,Fanci
TOP2A,Top2a
ENDOV,Endov
RNU6-231P,Gm24854
MED15,Med15
LDLRAD2,Ldlrad2
ARL11,Arl11
SNORD92,Snord92
ZBTB7A,Zbtb7a
STAP1,Stap1
ACTRT1,Actrt1
ITPRID1,Itprid1
SNORA58B,Gm24608
MIR139,Mir139
ZCWPW2,Zcwpw2
DGCR2,Dgcr2
RAD21L1,Rad21l
SNORD64,Snord64
RNF11,Rnf11
LRRC71,Lrrc71
OAZ1,Oaz1
CCER2,Gm6537
VDR,Vdr
C1orf94,CK137956
RF02149,Gm27522
ACTR8,Actr8
ITPK1,Itpk1
ULK1,Ulk1
CTAG2,Ctag2
TNKS,Tnks
EIF2B2,Eif2b2
TGM7,Tgm7
FGF16,Fgf16
TUBB6,Tubb6
WIZ,Wiz
RF02133,Gm27898
RPTOR,Rptor
RF02141,Gm27454
MIR708,Mir708
FAM69A,Fam69a
CEMIP,9930013L23Rik
TYW3,Tyw3
THSD1,Thsd1
SREK1,Srek1
HOXB7,Hoxb7
PSMA5,Psma5
KNTC1,Kntc1
PKM,Pkm
FAM76A,Fam76a
FNIP2,Fnip2
ESX1,Esx1
CHCHD3,Chchd3
SRD5A3,Srd5a3
CXorf49B,LOC102634296
PIGW,Pigw
NXF2B,Nxf2
FABP2,Fabp2
RAD17,Rad17
EFCAB2,Efcab2
ATRIP,Atrip
SLAMF8,Slamf8
TMPRSS12,Tmprss12
PAK5,Pak7
COX14,Cox14
HDAC9,Hdac9
ZNF804B,Zfp804b
XRCC5,Xrcc5
EXTL1,Extl1
ALG9,Alg9
MAST3,Mast3
RPRD1B,Rprd1b
C16orf91,BC003965
TTF2,Ttf2
POLD4,Pold4
SLC39A2,Slc39a2
SEMA6B,Sema6b
ARHGEF16,Arhgef16
PHYHIP,Phyhip
PDK3,Pdk3
RNU1-123P,Gm23322
CDC42,Cdc42
NR1H2,Nr1h2
ASL,Asl
FRAS1,Fras1
ARL2BP,Arl2bp
UBA52,Gm7866
TLL1,Tll1
RAD54L2,Rad54l2
FAM19A2,Fam19a2
RPGR,Rpgr
TMED6,Tmed6
IL22RA2,Il22ra2
GPR141,Gpr141
NAA16,Naa16
ZGPAT,Zgpat
NEDD8,Nedd8
TREML2,Treml2
ECH1,Ech1
PLS1,Pls1
C9orf172,Gm996
TMEM208,Tmem208
DERL1,Derl1
LIPN,Lipn
BIRC5,Birc5
MIR4657,Gm22123
PPP1R11,Ppp1r11
ANAPC7,Anapc7
SHH,Shh
ASGR2,Asgr2
TWNK,Twnk
TGM5,Tgm5
FNDC11,Fndc11
SNX19,Snx19
LAMA5,Lama5
FOXP2,Foxp2
EIF3G,Eif3g
RD3L,BC048943
S100G,S100g
NELL1,Nell1
SRA1,Sra1
RF02210,Gm27715
CERS1,Cers1
LAMTOR3,Lamtor3
MIR450A1,Mir450-1
SYNGR1,Syngr1
TDRKH,Tdrkh
TNFRSF12A,Tnfrsf12a
NPC1L1,Npc1l1
TMEM109,Tmem109
TAF13,Taf13
GK5,Gk5
SLC9B1,Slc9b1
SLC26A4,Slc26a4
RPS6KC1,Rps6kc1
FTMT,Ftmt
DDX60,Ddx60
SNX21,Snx21
IL13RA1,Il13ra1
LRRTM1,Lrrtm1
SMYD1,Smyd1
EDNRA,Ednra
HSPA1L,Hspa1l
PKIA,Pkia
TMEM246,Tmem246
TMEM80,Tmem80
TTC8,Ttc8
C17orf49,0610010K14Rik
ZNF593,Zfp593
PRIM2,Prim2
ZSWIM8,Zswim8
TTI1,Tti1
CNOT2,Cnot2
SEZ6,Sez6
SNORA57,Snora57
ATAD3A,Atad3a
NDST2,Ndst2
TNFSF11,Tnfsf11
TRAPPC2,Trappc2
FAM53B,Fam53b
SYVN1,Syvn1
TMEM123,Tmem123
KHSRP,Khsrp
DPP10,Dpp10
PRPS1L1,Prps1l1
KLF11,Klf11
SELP,Selp
C17orf58,1810010H24Rik
TOMM20,Tomm20
RNU6-1141P,Gm23058
CD19,Cd19
KLF13,Klf13
U2AF2,U2af2
LEPROT,Leprot
LRBA,Lrba
FGF10,Fgf10
CACNG2,Cacng2
USP47,Usp47
CYP4F22,Cyp4f39
ALKBH8,Alkbh8
CD300E,Cd300e
HDGFL1,Hdgfl1
AC010255.3,1700034E13Rik
ECT2,Ect2
IMPG1,Impg1
BLM,Blm
FAM104A,Fam104a
SERPINB4,Serpinb3a
MED25,Med25
ALDH3A2,Aldh3a2
FUBP3,Fubp3
CCDC150,Ccdc150
TMEM258,Tmem258
BHLHE23,Bhlhe23
AL445685.3,Kti12
NAE1,Nae1
SRRM3,Srrm3
DNAH12,Dnah12
PRKCB,Prkcb
ZSCAN26,Zscan26
TENT5B,Tent5b
RNF151,Rnf151
CAMK1G,Camk1g
DBI,Dbi
TAF7L,Taf7l
PRR12,Prr12
SPHKAP,Sphkap
TRIM45,Trim45
AMPD1,Ampd1
COL2A1,Col2a1
DIAPH1,Diap1
PAPOLA,Papola
HERPUD1,Herpud1
MAK,Mak
MUC3A,A630081J09Rik
DDX4,Ddx4
GSPT2,Gspt2
IDH3G,Idh3g
PTBP2,Ptbp2
ALKBH5,Alkbh5
PRMT8,Prmt8
BCO1,Bco1
ARHGEF2,Arhgef2
SAXO1,Saxo1
FHL3,Fhl3
LRP8,Lrp8
B3GNT7,B3gnt7
CMTR1,Cmtr1
FADD,Fadd
CYP2E1,Cyp2e1
PISD,Pisd
MKRN2,Mkrn2
NLRP1,Nlrp1b
HDHD3,Hdhd3
TTYH2,Ttyh2
ZUP1,Zup1
STMN2,Stmn2
FGF19,Fgf15
GPR160,Gpr160
CALML4,Calml4
EML5,Eml5
TM2D2,Tm2d2
DUS4L,Dus4l
RS1,Rs1
SSR1,Ssr1
WDR89,Wdr89
RSPH10B,Rsph10b
ADIPOR1,Adipor1
PCBD2,Pcbd2
SUFU,Sufu
CTSS,Ctss
PCDHA1,Pcdha1
MORN4,Morn4
WDR37,Wdr37
ECD,Ecd
PRKCI,Prkci
GOLGA3,Golga3
CDC73,Cdc73
EIF2A,Eif2a
RPL12,Rpl12
POU2F1,Pou2f1
